Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6413295e5498f2f4ce3d12c2,581ccd016c73180001fa5b2a,AWAITING REVIEW,2023-03-16T14:36:19.479000Z,2023-03-16T14:41:51.182000Z,,2023-03-16T14:41:51.837841Z,332,5A34BA6B,3855,44,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6413295ea5eebd4664de8ff8,6148a744a4927f58c507b905,AWAITING REVIEW,2023-03-16T14:36:18.636000Z,2023-03-16T14:38:15.785000Z,,2023-03-16T14:38:16.497939Z,118,5A34BA6B,624,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6413295f7f0ab89438b216db,5ec54a1c831cf54dd9f78667,AWAITING REVIEW,2023-03-16T14:36:18.592000Z,2023-03-16T14:40:27.561000Z,,2023-03-16T14:40:28.327336Z,249,5A34BA6B,1129,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6413295fa5eebd4664de8ffa,58542426733c730001a5d1f4,AWAITING REVIEW,2023-03-16T14:36:15.800000Z,2023-03-16T14:39:56.650000Z,,2023-03-16T14:39:57.032259Z,221,5A34BA6B,1344,28,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6413295fe10e5b2ec0f48975,63da5521f23372b30f4f0b77,AWAITING REVIEW,2023-03-16T14:36:50.643000Z,2023-03-16T14:40:43.226000Z,,2023-03-16T14:40:43.666199Z,233,5A34BA6B,64,67,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
641329608fc6a3e5d0d33ad6,5dbb0562b1df1b110ead5bba,AWAITING REVIEW,2023-03-16T14:36:20.364000Z,2023-03-16T14:40:46.844000Z,,2023-03-16T14:40:47.247111Z,267,5A34BA6B,1254,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64132960aa435c8c4926c0d8,61471e59032755e55576414a,AWAITING REVIEW,2023-03-16T14:36:20.005000Z,2023-03-16T14:39:10.122000Z,,2023-03-16T14:39:10.471219Z,171,5A34BA6B,31,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Due to start a new job within the next month
64132960b899e41dbc5a624c,5c4f4cddb2c84d000130f466,AWAITING REVIEW,2023-03-16T14:36:18.436000Z,2023-03-16T14:38:27.610000Z,,2023-03-16T14:38:28.061922Z,130,5A34BA6B,762,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
64132960d01030971193a852,59cb95053306be000195be2e,AWAITING REVIEW,2023-03-16T14:36:20.160000Z,2023-03-16T14:39:29.184000Z,,2023-03-16T14:39:30.700905Z,190,5A34BA6B,507,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64132962158ce0783493a827,5f2b3b2b4cc04057806945da,AWAITING REVIEW,2023-03-16T14:36:18.553000Z,2023-03-16T14:38:23.808000Z,,2023-03-16T14:38:24.227895Z,126,5A34BA6B,323,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Due to start a new job within the next month
6413296283c6a337c144a16e,5ef5f74fb4a08f2676fb3aba,AWAITING REVIEW,2023-03-16T14:36:20.807000Z,2023-03-16T14:45:47.741000Z,,2023-03-16T14:45:48.182581Z,567,5A34BA6B,1313,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641329628f44b4bd75e36b88,5f12e6ebfe50020009674aa7,AWAITING REVIEW,2023-03-16T14:36:29.729000Z,2023-03-16T14:39:37.292000Z,,2023-03-16T14:39:37.847588Z,188,5A34BA6B,1152,39,Female,White,United States,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
641329629f28e39bfe08766b,595ceea8dd044900012ce64a,AWAITING REVIEW,2023-03-16T14:36:23.406000Z,2023-03-16T14:42:00.969000Z,,2023-03-16T14:42:01.392114Z,338,5A34BA6B,1832,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6413296350985d2ac73c5627,5ea2cf6f2888de038404188d,AWAITING REVIEW,2023-03-16T14:36:19.941000Z,2023-03-16T14:49:06.073000Z,,2023-03-16T14:49:06.597809Z,767,5A34BA6B,1065,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64132963f4e6f4cc3f1f72cd,61a74f60a9217c6f76a4d0e4,AWAITING REVIEW,2023-03-16T14:37:28.573000Z,2023-03-16T14:41:54.548000Z,,2023-03-16T14:41:54.932018Z,266,5A34BA6B,859,50,Female,White,Canada,United Kingdom,United Kingdom,English,No,Part-Time
64132964149c40997870354b,61647688d6592403e31aa473,AWAITING REVIEW,2023-03-16T14:37:48.228000Z,2023-03-16T14:42:13.975000Z,,2023-03-16T14:42:15.035099Z,266,5A34BA6B,1088,43,Female,White,Canada,United Kingdom,United Kingdom,English,No,Full-Time
641329641a823812a0a7e81a,5a57c51876d1c60001ab090d,AWAITING REVIEW,2023-03-16T14:36:23.712000Z,2023-03-16T14:39:27.860000Z,,2023-03-16T14:39:29.000194Z,185,5A34BA6B,1422,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64132964a0d5e5e58171536c,5bd09264c39f0600019d798c,AWAITING REVIEW,2023-03-16T14:36:24.656000Z,2023-03-16T14:43:48.079000Z,,2023-03-16T14:43:48.464446Z,444,5A34BA6B,1036,25,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64132965044e0ca2d9af07bb,5b1efc25bdf4e1000163af46,AWAITING REVIEW,2023-03-16T14:36:21.550000Z,2023-03-16T14:39:40.740000Z,,2023-03-16T14:39:41.250450Z,200,5A34BA6B,2070,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6413296504d63b2835de8fec,5f04dc9fb117c31680c1a4f5,AWAITING REVIEW,2023-03-16T14:36:54.111000Z,2023-03-16T14:38:54.926000Z,,2023-03-16T14:38:55.391579Z,121,5A34BA6B,348,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
641329658f1c2a99dea53756,5eff07d279c81803541503a8,AWAITING REVIEW,2023-03-16T14:36:34.437000Z,2023-03-16T14:40:36.153000Z,,2023-03-16T14:40:36.606619Z,242,5A34BA6B,1166,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64132965d453fb60f90d62d5,594abd98215cbd000146debc,AWAITING REVIEW,2023-03-16T14:36:21.321000Z,2023-03-16T14:41:05.367000Z,,2023-03-16T14:41:05.846363Z,285,5A34BA6B,2772,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64132966136f35c99aa7e7c6,5e282e43266894a3e79a6eaa,AWAITING REVIEW,2023-03-16T14:36:33.812000Z,2023-03-16T14:39:40.220000Z,,2023-03-16T14:39:40.895464Z,187,5A34BA6B,1320,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6413296622197289198f9eee,6014c1b18c19b3524a3ef183,AWAITING REVIEW,2023-03-16T14:36:39.740000Z,2023-03-16T14:40:03.983000Z,,2023-03-16T14:40:04.392139Z,205,5A34BA6B,453,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
64132966b4cb9fefbc48b2e2,613a62de5484d0b75dd3833f,AWAITING REVIEW,2023-03-16T14:36:26.446000Z,2023-03-16T14:39:48.826000Z,,2023-03-16T14:39:49.926217Z,203,5A34BA6B,603,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64132966e10e5b2ec0f48979,613a467ab51107552deceabb,AWAITING REVIEW,2023-03-16T14:36:28.915000Z,2023-03-16T14:39:55.050000Z,,2023-03-16T14:39:55.464928Z,207,5A34BA6B,362,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
6413296710c904f2f15fa029,567bdc76b7d79a0012b2738a,AWAITING REVIEW,2023-03-16T14:36:28.775000Z,2023-03-16T14:38:15.327000Z,,2023-03-16T14:38:15.761909Z,107,5A34BA6B,384,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641329672b80c12211de4040,5d93ab29efb8550018d5626c,AWAITING REVIEW,2023-03-16T14:36:23.672000Z,2023-03-16T14:39:03.301000Z,,2023-03-16T14:39:03.993492Z,160,5A34BA6B,1330,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
64132967429e9d22bff4b759,588a1c40a7e5300001198f55,AWAITING REVIEW,2023-03-16T14:37:38.963000Z,2023-03-16T14:39:59.631000Z,,2023-03-16T14:40:00.081586Z,141,5A34BA6B,483,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6413296797003765622c0075,606dfa7094567e608e95135f,AWAITING REVIEW,2023-03-16T14:36:27.640000Z,2023-03-16T14:43:36.879000Z,,2023-03-16T14:43:37.279932Z,430,5A34BA6B,583,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64132968b4f08ead7496a308,5ccaec0fd916f9001ce474ae,AWAITING REVIEW,2023-03-16T14:36:27.397000Z,2023-03-16T14:49:36.124000Z,,2023-03-16T14:49:36.550443Z,789,5A34BA6B,443,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
64132968de04a62ae75fa029,614712587e4bfca5555277d7,AWAITING REVIEW,2023-03-16T14:36:28.903000Z,2023-03-16T14:40:50.034000Z,,2023-03-16T14:40:50.529762Z,262,5A34BA6B,282,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64132a2f445c3cc03190f11a,59607d6c2fa2630001d87d75,AWAITING REVIEW,2023-03-16T14:39:49.911000Z,2023-03-16T14:44:06.501000Z,,2023-03-16T14:44:07.132353Z,257,5A34BA6B,454,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
641332848d68595eb678979d,636662f6cd42eaa9a0d46be1,AWAITING REVIEW,2023-03-16T15:15:20.246000Z,2023-03-16T15:18:33.850000Z,,2023-03-16T15:18:34.577507Z,194,5A34BA6B,134,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
